arm,seed,epoch,train_nll,val_nll,train_val_gap,val_nll_above_own_min,lr,secs,improved,is_retained_epoch,epochs_from_retained,n_epochs_run,note
m0d_clinical,20250720,10,0.558525,0.645932,0.087407,0.017309,0.000868,7.95,False,False,8,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,0,0.609018,0.634011,0.024994,0.005076,0.000506,8.05,True,False,-2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,1,0.60367,0.629632,0.025962,0.000696,0.001,8.05,True,False,-1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,2,0.595435,0.628935,0.033501,0.0,0.000998,7.94,True,True,0,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,3,0.586228,0.631632,0.045404,0.002696,0.000993,8.02,False,False,1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,4,0.580436,0.631755,0.051319,0.00282,0.000985,7.94,False,False,2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,5,0.577307,0.635944,0.058638,0.007009,0.000973,7.88,False,False,3,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,6,0.571327,0.637549,0.066223,0.008614,0.000958,7.92,False,False,4,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,7,0.567592,0.641605,0.074013,0.01267,0.00094,8.01,False,False,5,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,8,0.564189,0.646545,0.082355,0.01761,0.000919,7.98,False,False,6,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,9,0.559393,0.647129,0.087737,0.018194,0.000895,8.0,False,False,7,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250721,10,0.557808,0.650089,0.092281,0.021153,0.000868,8.03,False,False,8,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,0,0.608557,0.632405,0.023847,0.004341,0.000506,7.92,True,False,-2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,1,0.603747,0.628408,0.024661,0.000344,0.001,7.87,True,False,-1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,2,0.593973,0.628064,0.034091,0.0,0.000998,7.84,True,True,0,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,3,0.585316,0.629647,0.04433,0.001583,0.000993,7.94,False,False,1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,4,0.581117,0.63276,0.051643,0.004697,0.000985,7.88,False,False,2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,5,0.575292,0.632903,0.057612,0.00484,0.000973,7.95,False,False,3,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,6,0.571921,0.637414,0.065493,0.009351,0.000958,7.98,False,False,4,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,7,0.567777,0.641356,0.073579,0.013293,0.00094,7.99,False,False,5,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,8,0.5641,0.643063,0.078962,0.014999,0.000919,7.95,False,False,6,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,9,0.562417,0.645398,0.082981,0.017334,0.000895,7.91,False,False,7,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250722,10,0.557709,0.647432,0.089723,0.019368,0.000868,8.03,False,False,8,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,0,0.608612,0.633319,0.024707,0.004148,0.000506,7.97,True,False,-3,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,1,0.603608,0.630102,0.026495,0.000932,0.001,7.95,True,False,-2,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,2,0.594374,0.629394,0.035021,0.000224,0.000998,8.02,True,False,-1,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,3,0.586613,0.629171,0.042558,0.0,0.000993,7.83,True,True,0,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,4,0.580766,0.630027,0.049261,0.000857,0.000985,8.08,False,False,1,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,5,0.575425,0.633918,0.058493,0.004747,0.000973,7.95,False,False,2,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,6,0.570866,0.639282,0.068416,0.010111,0.000958,7.93,False,False,3,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,7,0.567004,0.64082,0.073815,0.011649,0.00094,7.91,False,False,4,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,8,0.566475,0.643022,0.076548,0.013852,0.000919,7.95,False,False,5,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,9,0.560708,0.64693,0.086222,0.017759,0.000895,7.98,False,False,6,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,10,0.559025,0.64992,0.090895,0.020749,0.000868,7.89,False,False,7,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250723,11,0.555348,0.653223,0.097875,0.024052,0.000839,7.96,False,False,8,12,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,0,0.608438,0.632656,0.024218,0.002602,0.000506,7.96,True,False,-2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,1,0.603253,0.630108,0.026855,5.4e-05,0.001,7.99,True,False,-1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,2,0.59347,0.630054,0.036584,0.0,0.000998,8.04,True,True,0,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,3,0.585234,0.6337,0.048467,0.003647,0.000993,7.93,False,False,1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,4,0.580114,0.637263,0.057149,0.00721,0.000985,7.95,False,False,2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,5,0.574534,0.641377,0.066843,0.011324,0.000973,7.98,False,False,3,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,6,0.570354,0.643733,0.07338,0.01368,0.000958,7.96,False,False,4,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,7,0.565446,0.646114,0.080668,0.016061,0.00094,7.94,False,False,5,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,8,0.563313,0.649886,0.086573,0.019832,0.000919,7.96,False,False,6,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,9,0.56044,0.651987,0.091546,0.021933,0.000895,7.92,False,False,7,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250724,10,0.557773,0.653867,0.096093,0.023813,0.000868,7.99,False,False,8,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,0,0.600416,0.631872,0.031455,0.012244,0.000506,7.62,True,False,-2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,1,0.588129,0.623626,0.035496,0.003998,0.001,7.61,True,False,-1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,2,0.568636,0.619628,0.050992,0.0,0.000998,7.55,True,True,0,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,3,0.554247,0.621498,0.067251,0.00187,0.000993,7.63,False,False,1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,4,0.544446,0.627633,0.083186,0.008005,0.000985,7.54,False,False,2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,5,0.538968,0.634285,0.095316,0.014657,0.000973,7.48,False,False,3,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,6,0.534865,0.637112,0.102247,0.017484,0.000958,7.63,False,False,4,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,7,0.530075,0.641241,0.111166,0.021613,0.00094,7.74,False,False,5,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,8,0.528674,0.647785,0.119111,0.028157,0.000919,7.65,False,False,6,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,9,0.521977,0.647485,0.125507,0.027857,0.000895,7.53,False,False,7,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250720,10,0.516402,0.653455,0.137052,0.033827,0.000868,7.57,False,False,8,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250721,0,0.599237,0.631016,0.031779,0.010431,0.000506,7.61,True,False,-2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250721,1,0.586157,0.621943,0.035787,0.001359,0.001,7.66,True,False,-1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250721,2,0.565203,0.620585,0.055382,0.0,0.000998,7.6,True,True,0,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250721,3,0.553257,0.624845,0.071588,0.00426,0.000993,7.55,False,False,1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m1_klg,20250721,4,0.546736,0.628449,0.081713,0.007864,0.000985,7.56,False,False,2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
