arm,seed,n_epochs_run,retained_epoch,last_epoch,epochs_after_retained,train_nll_at_retained,val_nll_at_retained,gap_at_retained,val_nll_last,val_overfit_gap_last_minus_min,note
m4_fusion,20250720,15,6,14,8,0.536412,0.595164,0.058752,0.688179,0.093016,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_fusion,20250721,16,7,15,8,0.488001,0.563965,0.075963,0.795147,0.231183,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_fusion,20250722,17,8,16,8,0.497065,0.536624,0.039559,0.760666,0.224043,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_fusion,20250723,14,5,13,8,0.537226,0.566284,0.029057,0.703533,0.137249,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_fusion,20250724,16,7,15,8,0.503307,0.559868,0.056561,0.783567,0.223699,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m3_image,20250720,17,8,16,8,0.487054,0.572003,0.084949,0.971766,0.399763,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m3_image,20250721,16,7,15,8,0.50719,0.594364,0.087174,0.952373,0.35801,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m3_image,20250722,18,9,17,8,0.48909,0.571534,0.082444,0.858441,0.286906,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m3_image,20250723,14,5,13,8,0.543292,0.558528,0.015235,0.724937,0.166409,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m3_image,20250724,12,3,11,8,0.587432,0.579399,-0.008034,1.168827,0.589429,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m2_frontal,20250720,15,6,14,8,0.572681,0.577998,0.005317,0.730876,0.152879,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m2_frontal,20250721,17,8,16,8,0.548458,0.585159,0.036701,0.735463,0.150305,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m2_frontal,20250722,17,8,16,8,0.555647,0.593913,0.038267,0.747895,0.153981,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m2_frontal,20250723,16,7,15,8,0.553415,0.568126,0.014711,0.731735,0.163609,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m2_frontal,20250724,16,7,15,8,0.537059,0.581123,0.044064,0.743306,0.162183,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_frontal,20250720,15,6,14,8,0.561482,0.583865,0.022384,0.772622,0.188757,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_frontal,20250721,15,6,14,8,0.568568,0.58042,0.011851,0.709142,0.128723,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_frontal,20250722,13,4,12,8,0.595032,0.577635,-0.017397,0.7786,0.200965,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_frontal,20250723,18,9,17,8,0.499807,0.575714,0.075907,0.851926,0.276212,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m4_frontal,20250724,14,5,13,8,0.565931,0.589848,0.023916,0.734452,0.144604,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
r1_densenet_frontal,20250720,11,2,10,8,0.609162,0.62207,0.012908,0.636773,0.014703,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
r1_densenet_frontal,20250721,11,2,10,8,0.607894,0.620768,0.012874,0.63662,0.015852,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
r1_densenet_frontal,20250722,18,9,17,8,0.61058,0.6279,0.01732,0.636842,0.008942,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
r1_densenet_frontal,20250723,11,2,10,8,0.607794,0.599246,-0.008548,0.63693,0.037685,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
r1_densenet_frontal,20250724,10,1,9,8,0.60538,0.617544,0.012165,0.636326,0.018782,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
