arm,scheme,stratum,stratum_order,tertile,tertile_label,horizon_days,n_patients,n_events,n_at_risk_horizon,min_predicted_risk,max_predicted_risk,mean_predicted_risk,km_cumulative_incidence,km_ci_lo,km_ci_hi,n_stratum_patients,n_stratum_events,logrank_chi2,logrank_df,logrank_p,logrank_p_text,note
m2_frontal,kl3,KL 3-4,3,2,Middle tertile,1825,99,22,16,0.124482,0.264265,0.189746,0.31451,0.210193,0.45355,297,65,35.311952,2.0,0.0,2.15e-08,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 3-4,3,3,Highest tertile,1825,99,35,7,0.267268,0.722295,0.403643,0.526646,0.392037,0.675039,297,65,35.311952,2.0,0.0,2.15e-08,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,All KL grades,0,1,Lowest tertile,1825,236,6,84,0.004056,0.035907,0.018321,0.038023,0.016986,0.083975,707,98,95.132659,2.0,0.0,2.2e-21,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,All KL grades,0,2,Middle tertile,1825,236,26,49,0.035943,0.11806,0.069936,0.193341,0.132408,0.27748,707,98,95.132659,2.0,0.0,2.2e-21,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,All KL grades,0,3,Highest tertile,1825,235,66,18,0.118298,0.900304,0.290048,0.401266,0.320774,0.493488,707,98,95.132659,2.0,0.0,2.2e-21,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 0-1,1,1,Lowest tertile,1825,48,1,18,0.004095,0.015434,0.009996,0.037037,0.005302,0.235056,144,3,0.207619,2.0,0.901397,0.901,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 0-1,1,2,Middle tertile,1825,48,1,9,0.015754,0.039052,0.026215,0.038462,0.005509,0.243056,144,3,0.207619,2.0,0.901397,0.901,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 0-1,1,3,Highest tertile,1825,48,1,4,0.039664,0.351507,0.083709,0.027027,0.003852,0.17677,144,3,0.207619,2.0,0.901397,0.901,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 2,2,1,Lowest tertile,1825,89,3,35,0.004056,0.029836,0.0165,0.04295,0.013813,0.129379,266,30,18.711326,2.0,8.6e-05,8.65e-05,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 2,2,2,Middle tertile,1825,89,9,20,0.029931,0.091784,0.054972,0.174091,0.090672,0.31948,266,30,18.711326,2.0,8.6e-05,8.65e-05,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 2,2,3,Highest tertile,1825,88,18,4,0.09186,0.731234,0.193191,0.286086,0.184808,0.426378,266,30,18.711326,2.0,8.6e-05,8.65e-05,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 3-4,3,1,Lowest tertile,1825,99,7,38,0.004289,0.084133,0.041712,0.08939,0.043208,0.180061,297,65,37.681098,2.0,0.0,6.57e-09,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 3-4,3,2,Middle tertile,1825,99,24,16,0.084749,0.211094,0.134917,0.376752,0.260071,0.523932,297,65,37.681098,2.0,0.0,6.57e-09,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m4_fusion,kl3,KL 3-4,3,3,Highest tertile,1825,99,34,7,0.212445,0.900304,0.428136,0.490016,0.36327,0.633768,297,65,37.681098,2.0,0.0,6.57e-09,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
