arm,family,subgroup,level,image_scope,metric,horizon_days,n_patients,n_events,n_cases_by_horizon,n_controls_beyond_horizon,estimate,ci_lo,ci_hi,ci_width,wide_interval,suppressed,suppression_reason,note
m2_frontal,laterality_source,Index laterality source,Recovered laterality,not applicable,auc,1825,365,30,30,157,,,,,False,True,protocol section 21: fewer than 50 events (30 in this level),"side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,laterality_source,Index laterality source,Recovered laterality,not applicable,harrell_c,1825,365,30,30,157,,,,,False,True,protocol section 21: fewer than 50 events (30 in this level),"side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_calendar,Acquisition era (five-year calendar spans),2007 to 2011,not applicable,auc,1825,34,0,0,33,,,,,False,True,protocol section 21: fewer than 50 events (0 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,acquisition_era_calendar,Acquisition era (five-year calendar spans),2007 to 2011,not applicable,harrell_c,1825,34,0,0,33,,,,,False,True,protocol section 21: fewer than 50 events (0 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_calendar,Acquisition era (five-year calendar spans),2012 to 2016,not applicable,auc,1825,217,12,12,121,,,,,False,True,protocol section 21: fewer than 50 events (12 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,acquisition_era_calendar,Acquisition era (five-year calendar spans),2012 to 2016,not applicable,harrell_c,1825,217,12,12,121,,,,,False,True,protocol section 21: fewer than 50 events (12 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_calendar,Acquisition era (five-year calendar spans),2017 to 2021,not applicable,auc,1825,483,94,94,3,0.857016,0.619176,1.0,0.380824,True,False,,"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 94 case(s) with an event by 1825 d against 3 control(s) observed event-free beyond it | WIDE INTERVAL: the 95% interval spans 0.381, at or above the pre-declared 0.15 flag"
m2_frontal,acquisition_era_calendar,Acquisition era (five-year calendar spans),2017 to 2021,not applicable,harrell_c,1825,483,94,94,3,0.743104,0.692324,0.789842,0.097519,False,False,,"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_devtertile,Acquisition era (development tertile edges),2015 and earlier,not applicable,auc,1825,167,6,6,122,,,,,False,True,protocol section 21: fewer than 50 events (6 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,acquisition_era_devtertile,Acquisition era (development tertile edges),2015 and earlier,not applicable,harrell_c,1825,167,6,6,122,,,,,False,True,protocol section 21: fewer than 50 events (6 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_devtertile,Acquisition era (development tertile edges),2016 to 2018,not applicable,auc,1825,277,49,49,35,,,,,False,True,protocol section 21: fewer than 50 events (49 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,acquisition_era_devtertile,Acquisition era (development tertile edges),2016 to 2018,not applicable,harrell_c,1825,277,49,49,35,,,,,False,True,protocol section 21: fewer than 50 events (49 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_devtertile,Acquisition era (development tertile edges),2019 and later,not applicable,auc,1825,290,51,51,0,,,,,False,True,"not estimable: the IPCW AUROC at 1825 d compares patients with an event by 1825 days against patients observed event-free beyond it, and this level holds 51 of the former and 0 of the latter. This is undefined, not imprecise; read the horizon-free Harrell C row","UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,acquisition_era_devtertile,Acquisition era (development tertile edges),2019 and later,not applicable,harrell_c,1825,290,51,51,0,0.737802,0.663768,0.804464,0.140696,False,False,,"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_devmedian,Acquisition era (development median edge),2017 and earlier,not applicable,auc,1825,337,34,34,157,,,,,False,True,protocol section 21: fewer than 50 events (34 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,acquisition_era_devmedian,Acquisition era (development median edge),2017 and earlier,not applicable,harrell_c,1825,337,34,34,157,,,,,False,True,protocol section 21: fewer than 50 events (34 in this level),"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,acquisition_era_devmedian,Acquisition era (development median edge),2018 and later,not applicable,auc,1825,397,72,72,0,,,,,False,True,"not estimable: the IPCW AUROC at 1825 d compares patients with an event by 1825 days against patients observed event-free beyond it, and this level holds 72 of the former and 0 of the latter. This is undefined, not imprecise; read the horizon-free Harrell C row","UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,acquisition_era_devmedian,Acquisition era (development median edge),2018 and later,not applicable,harrell_c,1825,397,72,72,0,0.732339,0.67338,0.786661,0.11328,False,False,,"UNCONFIRMED DATE COMPARABILITY. The era label is derived from StudyDate_anon, which carries a PER-PATIENT RANDOM SHIFT (see src/inventory.py and outputs/data_quality_report.md: ""Absolute calendar dates are meaningless, but within-patient day intervals are valid""). Protocol section 17 demands written confirmation that de-identified dates are comparable across patients; deviation D17 recorded that it ""has not been obtained"", and as of 2026-08-11 it still has not. This stratum is therefore a stratification on a shifted date of unknown per-patient offset, not on true acquisition year, and it must not be read as an acquisition-technology or equipment-generation effect. It is additionally confounded with retrospective record availability: on the test split median follow-up falls from 1,826 days in 2007-2011 to 430 days in 2017-2021 while the share observed through five years falls from 97.2% to 1.0%, and the earliest era carries zero events. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_masking,Border and marker masking,Border band only,all_crops,auc,1825,471,55,55,107,0.857456,0.787563,0.917754,0.13019,False,False,,"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 55 case(s) with an event by 1825 d against 107 control(s) observed event-free beyond it"
m2_frontal,image_masking,Border and marker masking,Border band only,all_crops,harrell_c,1825,471,55,55,107,0.801605,0.744003,0.855644,0.111641,False,False,,"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_masking,Border and marker masking,Additional marker masking,all_crops,auc,1825,263,51,51,50,0.786404,0.682576,0.878505,0.195929,True,False,,"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 51 case(s) with an event by 1825 d against 50 control(s) observed event-free beyond it | WIDE INTERVAL: the 95% interval spans 0.196, at or above the pre-declared 0.15 flag"
m2_frontal,image_masking,Border and marker masking,Additional marker masking,all_crops,harrell_c,1825,263,51,51,50,0.727366,0.660428,0.788003,0.127575,False,False,,"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,image_masking,Border and marker masking,Border band only,frontal_only,auc,1825,619,85,85,137,0.826864,0.767167,0.886184,0.119017,False,False,,"masked_pct is the fraction of the finished 512x512 crop set to zero. Every crop carries the fixed 31-px border band (border_only_masked_pct below); anything above that floor is additional burned-in marker or text masking. UNDER THE all_crops SCOPE THIS STRATUM IS CONFOUNDED WITH VIEW AVAILABILITY: lateral films carry markers far more often than frontal ones, so on the m2_frontal roster (734 test patients with a frontal crop) 212 of 316 multi-view patients sit above the floor against 51 of 418 frontal-only, summing to this family's 263; on the 740-patient m4_fusion roster it is 214 of 322 and 51 of 418, summing to 265. The frontal_only scope is the unconfounded version of this contrast; its additional-masking level holds 21 events and is suppressed by the 50-event floor, so the two-sided comparison exists only under the confounded definition and must not be reported as unconfounded. Post hoc under D35. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 85 case(s) with an event by 1825 d against 137 control(s) observed event-free beyond it"
